+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                ;
+----------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; inst4|mm_interconnect_0|cmd_xbar_mux_008|arb                                                                         ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux_008                                                                             ; 225   ; 0              ; 0            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux_007                                                                             ; 114   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux_006                                                                             ; 114   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux_005                                                                             ; 114   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux_004                                                                             ; 114   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux_003|arb|adder                                                                   ; 16    ; 4              ; 0            ; 4              ; 8      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux_003|arb                                                                         ; 8     ; 0              ; 1            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux_003                                                                             ; 447   ; 0              ; 0            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux_002|arb|adder                                                                   ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux_002|arb                                                                         ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux_002                                                                             ; 225   ; 0              ; 0            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux_001                                                                             ; 114   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux|arb|adder                                                                       ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux|arb                                                                             ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_mux                                                                                 ; 225   ; 0              ; 0            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_demux_003                                                                           ; 117   ; 16             ; 2            ; 16             ; 445    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_demux_002                                                                           ; 119   ; 36             ; 2            ; 36             ; 667    ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_demux_001                                                                           ; 119   ; 36             ; 2            ; 36             ; 667    ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cmd_xbar_demux                                                                               ; 117   ; 16             ; 2            ; 16             ; 445    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_012|the_default_decode                                                             ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_012                                                                                ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_011|the_default_decode                                                             ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_011                                                                                ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_010|the_default_decode                                                             ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_010                                                                                ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_009|the_default_decode                                                             ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_009                                                                                ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_008|the_default_decode                                                             ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_008                                                                                ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_007|the_default_decode                                                             ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_007                                                                                ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_006|the_default_decode                                                             ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_006                                                                                ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_005|the_default_decode                                                             ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_005                                                                                ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_004|the_default_decode                                                             ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_004                                                                                ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_003|the_default_decode                                                             ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_003                                                                                ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_002|the_default_decode                                                             ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_002                                                                                ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_001|the_default_decode                                                             ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router_001                                                                                ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router|the_default_decode                                                                 ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|id_router                                                                                    ; 101   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|addr_router_003|the_default_decode                                                           ; 0     ; 17             ; 0            ; 17             ; 17     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|addr_router_003                                                                              ; 101   ; 0              ; 6            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|addr_router_002|the_default_decode                                                           ; 0     ; 17             ; 0            ; 17             ; 17     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|addr_router_002                                                                              ; 101   ; 0              ; 6            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|addr_router_001|the_default_decode                                                           ; 0     ; 17             ; 0            ; 17             ; 17     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|addr_router_001                                                                              ; 101   ; 0              ; 6            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|addr_router|the_default_decode                                                               ; 0     ; 17             ; 0            ; 17             ; 17     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|addr_router                                                                                  ; 101   ; 0              ; 6            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|ins_mem_1_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                              ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|ins_mem_1_s1_translator_avalon_universal_slave_0_agent|uncompressor                          ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|ins_mem_1_s1_translator_avalon_universal_slave_0_agent                                       ; 287   ; 39             ; 50           ; 39             ; 295    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|fifo_0_out_translator_avalon_universal_slave_0_agent_rsp_fifo                                ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|fifo_0_out_translator_avalon_universal_slave_0_agent|uncompressor                            ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|fifo_0_out_translator_avalon_universal_slave_0_agent                                         ; 287   ; 39             ; 50           ; 39             ; 295    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|timer_1_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|timer_1_s1_translator_avalon_universal_slave_0_agent|uncompressor                            ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|timer_1_s1_translator_avalon_universal_slave_0_agent                                         ; 287   ; 39             ; 50           ; 39             ; 295    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|jtag_uart_1_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo             ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|jtag_uart_1_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor         ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|jtag_uart_1_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                      ; 287   ; 39             ; 50           ; 39             ; 295    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cpu_1_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                   ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cpu_1_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor               ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|cpu_1_jtag_debug_module_translator_avalon_universal_slave_0_agent                            ; 287   ; 39             ; 50           ; 39             ; 295    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|data_mem_1_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                             ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|data_mem_1_s1_translator_avalon_universal_slave_0_agent|uncompressor                         ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|data_mem_1_s1_translator_avalon_universal_slave_0_agent                                      ; 287   ; 39             ; 50           ; 39             ; 295    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|timer_0_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|timer_0_s1_translator_avalon_universal_slave_0_agent|uncompressor                            ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|timer_0_s1_translator_avalon_universal_slave_0_agent                                         ; 287   ; 39             ; 50           ; 39             ; 295    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo             ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor         ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                      ; 287   ; 39             ; 50           ; 39             ; 295    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|data_mem_0_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                             ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|data_mem_0_s1_translator_avalon_universal_slave_0_agent|uncompressor                         ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|data_mem_0_s1_translator_avalon_universal_slave_0_agent                                      ; 287   ; 39             ; 50           ; 39             ; 295    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|fifo_0_in_csr_translator_avalon_universal_slave_0_agent_rsp_fifo                             ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|fifo_0_in_csr_translator_avalon_universal_slave_0_agent|uncompressor                         ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|fifo_0_in_csr_translator_avalon_universal_slave_0_agent                                      ; 287   ; 39             ; 50           ; 39             ; 295    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst4|mm_interconnect_0|fifo_0_in_translator_avalon_universal_slave_0_agent_rsp_fifo                                 ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
